"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.654,1.98789,1.84887,0.253952
0.655,1.99584,1.84661,0.26366
0.656,2.00364,1.84426,0.273236
0.657,2.01145,1.84191,0.282813
0.658,2.01925,1.83957,0.292389
0.659,2.02705,1.83722,0.301965
0.66,2.03486,1.83488,0.311541
0.661,2.04249,1.83245,0.320962
0.662,2.05013,1.83002,0.330382
0.663,2.05777,1.82759,0.339803
0.664,2.0654,1.82516,0.349223
0.665,2.07304,1.82273,0.358644
0.666,2.08048,1.82022,0.367885
0.667,2.08793,1.81771,0.377126
0.668,2.09538,1.8152,0.386367
0.669,2.10282,1.81269,0.395609
0.67,2.11027,1.81018,0.40485
0.671,2.1175,1.80759,0.413889
0.672,2.12473,1.805,0.422928
0.673,2.13196,1.80241,0.431966
0.674,2.13919,1.79981,0.441005
0.675,2.14642,1.79722,0.450044
0.676,2.15341,1.79455,0.458858
0.677,2.1604,1.79188,0.467672
0.678,2.16739,1.7892,0.476486
0.679,2.17439,1.78653,0.485299
0.68,2.18138,1.78386,0.494113
0.681,2.18811,1.7811,0.50268
0.682,2.19484,1.77835,0.511247
0.683,2.20157,1.7756,0.519814
0.684,2.2083,1.77284,0.528381
0.685,2.21503,1.77009,0.536948
0.686,2.22148,1.76726,0.545246
0.687,2.22792,1.76443,0.553544
0.688,2.23437,1.76159,0.561843
0.689,2.24082,1.75876,0.570141
0.69,2.24727,1.75593,0.57844
0.691,2.25341,1.75302,0.586449
0.692,2.25955,1.7501,0.594458
0.693,2.26569,1.74719,0.602468
0.694,2.27183,1.74428,0.610477
0.695,2.27797,1.74137,0.618486
0.696,2.28378,1.73838,0.626186
0.697,2.2896,1.73539,0.633886
